path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,1063098.02589138,0.01728134,12,9,3,0,2008,2010,2008→2010,US20110047121A1,US8392251B2,177797.23713215,relaxed,US20090024448A1→US8386312B2,US20090024448A1 → US20090036755A1 → US20090030287A1 → US20110046503A1 → US20110046502A1 → US20110046504A1 → US20090082643A1 → US20090036756A1 → US20110047121A1 → US8392251B2 → US8386313B2 → US8386312B2
2,2,936073.7465095,0.01549035,11,9,2,0,2008,2010,2008→2010,US20090036755A1,US20090030303A1,164418.9448245,relaxed,US20110046504A1→US20090082643A1,US20110046504A1 → US20090030287A1 → US20090030717A1 → US20090036756A1 → US20090070798A1 → US20090024447A1 → US8386313B2 → US20090036755A1 → US20090030303A1 → US8392251B2 → US20090082643A1
3,3,862442.94114444,0.01396784,11,8,3,0,2008,2010,2008→2010,US20090036756A1,US20090030303A1,164381.83862543,relaxed,US8392250B2→US20090030930A1,US8392250B2 → US20090036755A1 → US20090083129A1 → US20110046503A1 → US20090030287A1 → US20090036756A1 → US20090024448A1 → US20090328089A1 → US8655428B2 → US20090030303A1 → US20090030930A1
4,4,831626.98050852,0.01097302,7,7,0,0,2008,2010,2008→2010,US20110046502A1,US20110046503A1,176421.97644718,strict,US20090082643A1→US20090030303A1,US20090082643A1 → US20090036755A1 → US20110046502A1 → US20110046503A1 → US20090036756A1 → US8392250B2 → US20090030303A1
5,5,825839.77074758,0.01181005,7,7,0,0,2008,2010,2008→2010,US20110046504A1,US20090036756A1,164374.32194984,strict,US20110046504A1→US8392251B2,US20110046504A1 → US20110046502A1 → US20090036755A1 → US20090062681A1 → US20110046503A1 → US20090036756A1 → US8392251B2
6,6,782499.67248571,0.01364581,8,7,1,0,2008,2010,2008→2010,US20110046504A1,US20110046503A1,193816.11582985,relaxed,US20110046503A1→US8386313B2,US20110046503A1 → US20110046504A1 → US20090062681A1 → US20090036756A1 → US20090030717A1 → US20090036755A1 → US20090082643A1 → US8386313B2
7,7,747204.12776694,0.00927947,8,7,1,0,2008,2010,2008→2010,US20090024475A1,US8655428B2,254472.42027576,strict,US20110046504A1→US8635105B2,US20110046504A1 → US20090036755A1 → US20090024475A1 → US8655428B2 → US8494905B2 → US8392250B2 → US20110046503A1 → US8635105B2
8,8,739347.99107955,0.01334098,8,7,1,0,2008,2009,2008→2009,US20090030287A1,US20110046503A1,174893.82736151,relaxed,US20090062629A1→US20110046503A1,US20090062629A1 → US20090036755A1 → US20090070798A1 → US20090062681A1 → US20110046502A1 → US20090036756A1 → US20090030287A1 → US20110046503A1
9,9,719415.74514383,0.01043984,7,6,1,0,2008,2010,2008→2010,US20110046504A1,US20090030303A1,164204.6077033,relaxed,US20110046504A1→US8386313B2,US20110046504A1 → US20090024448A1 → US20090030303A1 → US20110046503A1 → US20090030930A1 → US20090036756A1 → US8386313B2
10,10,692279.3509362,0.0132865,11,10,1,0,2008,2010,2008→2010,US20090024475A1,US8392250B2,177876.84992192,relaxed,US20090062681A1→US8386313B2,US20090062681A1 → US20110046504A1 → US20090024447A1 → US20090070798A1 → US20090024475A1 → US8392250B2 → US20110105937A1 → US8655428B2 → US8484081B2 → US20110046503A1 → US8386313B2
