path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,8128.74739922,0.05966645,9,9,0,0,2002,2005,2002→2005,US7024247B2,US20030130706A1,1270.37445136,relaxed,US20040102828A1→US20030088274A1,US20040102828A1 → US20060015153A1 → US20050070971A1 → US20050021118A1 → US20050021105A1 → US7024247B2 → US20030130706A1 → US20030074032A1 → US20030088274A1
2,2,8018.86675646,0.05846,9,7,2,0,2002,2005,2002→2005,US20050021118A1,US20040102828A1,1153.41558157,relaxed,US20060015153A1→US20040111127A1,US20060015153A1 → US20050021107A1 → US20030088274A1 → US20040102828A1 → US20050075680A1 → US20050021118A1 → US20030074032A1 → US20050021105A1 → US20040111127A1
3,3,7374.99156122,0.05515559,9,7,2,0,2002,2005,2002→2005,US20030074032A1,US20050021118A1,1235.6820911,relaxed,US20030097161A1→US20050075680A1,US20030097161A1 → US20060015153A1 → US20050004620A1 → US20040102828A1 → US20050021105A1 → US20030074032A1 → US20050021118A1 → US20040088024A1 → US20050075680A1
4,4,6596.42290739,0.04063496,6,5,1,0,2001,2005,2001→2005,US7010351B2,US20030187490A1,2612.83058898,strict,US20060015153A1→US20040088024A1,US20060015153A1 → US20030074032A1 → US20050021105A1 → US7010351B2 → US20030187490A1 → US20040088024A1
5,5,6007.43446716,0.03597303,6,5,1,0,2002,2005,2002→2005,US20050070971A1,US20050021105A1,2119.69209811,strict,US20030074032A1→US20040088024A1,US20030074032A1 → US20060015153A1 → US20050021118A1 → US20050070971A1 → US20050021105A1 → US20040088024A1
6,6,5534.93863711,0.03660375,6,6,0,0,2002,2005,2002→2005,US20040102828A1,US20050021105A1,1713.59560472,strict,US20050070971A1→US20030088274A1,US20050070971A1 → US20060015153A1 → US20050021105A1 → US20050021118A1 → US20040102828A1 → US20030088274A1
7,7,5476.91243665,0.04069652,7,7,0,0,2002,2004,2002→2004,US7024247B2,US20030187490A1,1266.7503482,relaxed,US20050021105A1→US20050075680A1,US20050021105A1 → US20040102828A1 → US20050021118A1 → US20030074032A1 → US7024247B2 → US20030187490A1 → US20050075680A1
8,8,5373.0923069,0.05765608,11,8,3,0,2001,2005,2001→2005,US20050004620A1,US20030130706A1,1139.86924854,relaxed,US20030097161A1→US20050033378A1,US20030097161A1 → US20050075680A1 → US20060015153A1 → US6990377B2 → US20040158298A1 → US20030088274A1 → US20030074032A1 → US20050004620A1 → US20030130706A1 → US20050021105A1 → US20050033378A1
9,9,5329.63026826,0.03320126,5,5,0,0,2002,2004,2002→2004,US20030097161A1,US20050021105A1,1571.84172855,strict,US20030074032A1→US20030088274A1,US20030074032A1 → US20050021118A1 → US20030097161A1 → US20050021105A1 → US20030088274A1
10,10,4913.82416466,0.041526,7,5,2,0,2002,2004,2002→2004,US20050070971A1,US20050021118A1,1157.80811564,relaxed,US20050070971A1→US20050021107A1,US20050070971A1 → US20030074032A1 → US20050021118A1 → US20040111127A1 → US20050021105A1 → US20030097161A1 → US20050021107A1
11,11,4460.89518992,0.03520674,9,6,3,0,2001,2004,2001→2004,US20050021105A1,US20040102828A1,1141.09992095,relaxed,US20030088274A1→US20050033378A1,US20030088274A1 → US20050021105A1 → US20050004620A1 → US20030130706A1 → US20040102828A1 → US7024247B2 → US20040158298A1 → US20050021107A1 → US20050033378A1
12,12,3920.36526799,0.04534577,9,7,2,0,2002,2004,2002→2004,US20050070971A1,US20030074032A1,1143.65451856,relaxed,US20030130706A1→US20050070971A1,US20030130706A1 → US20030088274A1 → US20050021118A1 → US20050004620A1 → US20050021105A1 → US20050021107A1 → US20040102828A1 → US20030074032A1 → US20050070971A1
13,13,3311.34907709,0.02452987,5,5,0,0,2002,2004,2002→2004,US20050021118A1,US20030097161A1,1173.79651257,relaxed,US20050021105A1→US20030088274A1,US20050021105A1 → US20050075680A1 → US20030097161A1 → US20050021118A1 → US20030088274A1
14,14,3288.9178828,0.0342867,7,4,3,0,2002,2005,2002→2005,US20050033378A1,US20050021105A1,1139.07538584,relaxed,US20030088274A1→US20050075679A1,US20030088274A1 → US20060015153A1 → US20050033378A1 → US20050021105A1 → US6990377B2 → US20030187490A1 → US20050075679A1
15,15,3013.87619231,0.0233464,5,5,0,0,2002,2004,2002→2004,US20050021105A1,US20030097161A1,1161.2632334,relaxed,US20030074032A1→US20030097161A1,US20030074032A1 → US20050075680A1 → US20050021105A1 → US20050070971A1 → US20030097161A1
