path_id,source,target,source_year,target_year,source_country,target_country,spc_weight,splc_weight,edge_position
1,US20090062681A1,US20090070798A1,2008.0,2008.0,US,US,95137.19127266,0.00353027,0
1,US20090070798A1,US20090063256A1,2008.0,2008.0,US,US,293009.6699082,0.00380221,1
1,US20090063256A1,US20090036755A1,2008.0,2008.0,US,US,191749.84416641,0.00337089,2
1,US20090036755A1,US20090082643A1,2008.0,2008.0,US,US,315894.27381483,0.00353331,3
1,US20090082643A1,US20090036756A1,2008.0,2008.0,US,US,320279.64215124,0.00350955,4
1,US20090036756A1,US20110046502A1,2008.0,2009.0,US,US,201077.57286979,0.00353235,5
1,US20110046502A1,US20110046503A1,2009.0,2009.0,US,US,375746.06764266,0.00349203,6
1,US20110046503A1,US20090024475A1,2009.0,,US,US,128316.63943432,0.00352777,7
1,US20090024475A1,US8655428B2,,2010.0,US,US,472600.79747639,0.00301859,8
1,US8655428B2,US8484081B2,2010.0,2008.0,US,US,2930.01349208,2.444e-05,9
1,US8484081B2,US20090030303A1,2008.0,2008.0,US,US,6.66449477,7e-08,10
1,US20090030303A1,US8392251B2,2008.0,2010.0,US,US,193363.49836299,0.00176691,11
2,US20090083129A1,US20090036755A1,,2008.0,US,US,170327.60547262,0.00299429,0
2,US20090036755A1,US20090024475A1,2008.0,,US,US,128518.02913895,0.00353331,1
2,US20090024475A1,US20090070798A1,,2008.0,US,US,81347.9190523,0.00301859,2
2,US20090070798A1,US20090024448A1,2008.0,,US,US,0.0,0.0,3
2,US20090024448A1,US20110046503A1,,2009.0,US,US,324801.37973655,0.00301857,4
2,US20110046503A1,US20110046502A1,2009.0,2009.0,US,US,200816.67214076,0.00352777,5
2,US20110046502A1,US20090030303A1,2009.0,2008.0,US,US,318351.10270779,0.00349203,6
2,US20090030303A1,US20090082643A1,2008.0,2008.0,US,US,157970.45907019,0.00176691,7
2,US20090082643A1,US20090063256A1,2008.0,2008.0,US,US,270456.79064444,0.00350955,8
2,US20090063256A1,US8386312B2,2008.0,2008.0,US,US,288249.8619636,0.00337089,9
2,US8386312B2,US20090036756A1,2008.0,2008.0,US,US,209578.04531011,0.00229651,10
2,US20090036756A1,US8392255B2,2008.0,2008.0,US,US,277640.52589371,0.00353235,11
3,US20090063256A1,US20110046503A1,2008.0,2009.0,US,US,362711.49519619,0.00337089,0
3,US20110046503A1,US20090062681A1,2009.0,2008.0,US,US,176340.72565442,0.00352777,1
3,US20090062681A1,US20110046502A1,2008.0,2009.0,US,US,200958.89933478,0.00353027,2
3,US20110046502A1,US20090036756A1,2009.0,2008.0,US,US,318680.23308889,0.00349203,3
3,US20090036756A1,US20110046504A1,2008.0,2010.0,US,US,103315.35654871,0.00353235,4
3,US20110046504A1,US20090070798A1,2010.0,2008.0,US,US,95070.42756735,0.00352779,5
3,US20090070798A1,US20090062629A1,2008.0,2008.0,US,US,216341.39027425,0.00380221,6
3,US20090062629A1,US20090036755A1,2008.0,2008.0,US,US,188945.37793662,0.00332159,7
3,US20090036755A1,US20090082643A1,2008.0,2008.0,US,US,315894.27381483,0.00353331,8
3,US20090082643A1,US20090030303A1,2008.0,2008.0,US,US,319948.85991333,0.00350955,9
4,US20090036755A1,US20110046502A1,2008.0,2009.0,US,US,201131.84880425,0.00353331,0
4,US20110046502A1,US20110046504A1,2009.0,2010.0,US,US,102135.86683258,0.00349203,1
4,US20110046504A1,US20090062681A1,2010.0,2008.0,US,US,176341.78096875,0.00352779,2
4,US20090062681A1,US20090036756A1,2008.0,2008.0,US,US,322170.17636933,0.00353027,3
4,US20090036756A1,US20090070798A1,2008.0,2008.0,US,US,95193.37324239,0.00353235,4
4,US20090070798A1,US20090082643A1,2008.0,2008.0,US,US,339935.25972128,0.00380221,5
4,US20090082643A1,US20110046503A1,2008.0,2009.0,US,US,377631.88170745,0.00350955,6
4,US20110046503A1,US8655437B2,2009.0,,US,US,350452.45168607,0.00352777,7
4,US8655437B2,US8484081B2,,2008.0,US,US,2929.68883689,2.444e-05,8
4,US8484081B2,US8392251B2,2008.0,2010.0,US,US,8.0001371,7e-08,9
4,US8392251B2,US20090030303A1,2010.0,2008.0,US,US,207111.76966291,0.00227183,10
5,US20110046504A1,US20110046502A1,2010.0,2009.0,US,US,200817.87393185,0.00352779,0
5,US20110046502A1,US20090062681A1,2009.0,2008.0,US,US,174554.03501536,0.00349203,1
5,US20090062681A1,US20090062629A1,2008.0,2008.0,US,US,200868.36915664,0.00353027,2
5,US20090062629A1,US20090070798A1,2008.0,2008.0,US,US,89513.43954727,0.00332159,3
5,US20090070798A1,US20090024475A1,2008.0,,US,US,138298.8336149,0.00380221,4
5,US20090024475A1,US8392250B2,,2010.0,US,US,330341.32913766,0.00301859,5
5,US8392250B2,US20090063256A1,2010.0,2008.0,US,US,175074.18091956,0.00227183,6
5,US20090063256A1,US20090030303A1,2008.0,2008.0,US,US,307307.55263768,0.00337089,7
5,US20090030303A1,US20090036756A1,2008.0,2008.0,US,US,161247.5273876,0.00176691,8
5,US20090036756A1,US8386313B2,2008.0,2008.0,US,US,302057.63486942,0.00353235,9
6,US20090024448A1,US20090070798A1,,2008.0,US,US,81347.37405002,0.00301857,0
6,US20090070798A1,US20090024447A1,2008.0,2008.0,US,US,136734.64779476,0.00380221,1
6,US20090024447A1,US8386312B2,2008.0,2008.0,US,US,302187.26696686,0.00353388,2
6,US8386312B2,US20090036755A1,2008.0,2008.0,US,US,130634.77558885,0.00229651,3
6,US20090036755A1,US20090024049A1,2008.0,2008.0,US,US,5618.65912619,0.00353331,4
6,US20090024049A1,US20070055169A1,2008.0,,US,US,78713.21879429,0.00353388,5
6,US20070055169A1,US20090036756A1,,2008.0,US,US,301043.95963622,0.00329877,6
6,US20090036756A1,US20090083129A1,2008.0,,US,US,184206.61374379,0.00353235,7
6,US20090083129A1,US20110046503A1,,2009.0,US,US,322189.46890276,0.00299429,8
6,US20110046503A1,US20090062629A1,2009.0,2008.0,US,US,200726.20603469,0.00352777,9
6,US20090062629A1,US20090030303A1,2008.0,2008.0,US,US,302812.9797358,0.00332159,10
7,US20090030717A1,US20090036755A1,,2008.0,US,US,171709.56102587,0.00301859,0
7,US20090036755A1,US20090030287A1,2008.0,,US,US,184444.88356858,0.00353331,1
7,US20090030287A1,US20090070798A1,,2008.0,US,US,81347.91966355,0.00301859,2
7,US20090070798A1,US20090024475A1,2008.0,,US,US,138298.8336149,0.00380221,3
7,US20090024475A1,US8392251B2,,2010.0,US,US,330341.31102614,0.00301859,4
7,US8392251B2,US20090036756A1,2010.0,2008.0,US,US,207325.89417857,0.00227183,5
7,US20090036756A1,US8386312B2,2008.0,2008.0,US,US,302056.94959309,0.00353235,6
7,US8386312B2,US20110046503A1,2008.0,2009.0,US,US,247107.03147862,0.00229651,7
7,US20110046503A1,US8386313B2,2009.0,2008.0,US,US,301665.71121516,0.00352777,8
8,US20090063256A1,US20090036756A1,2008.0,2008.0,US,US,307625.26553722,0.00337089,0
8,US20090036756A1,US20090082643A1,2008.0,2008.0,US,US,315809.02895181,0.00353235,1
8,US20090082643A1,US20090070798A1,2008.0,2008.0,US,US,94578.91453351,0.00350955,2
8,US20090070798A1,US20090030287A1,2008.0,,US,US,198481.97513354,0.00380221,3
8,US20090030287A1,US20090036755A1,,2008.0,US,US,171709.56118908,0.00301859,4
8,US20090036755A1,US20090062629A1,2008.0,2008.0,US,US,201041.24071392,0.00353331,5
8,US20090062629A1,US20110046503A1,2008.0,2009.0,US,US,357406.60358673,0.00332159,6
8,US20110046503A1,US8386312B2,2009.0,2008.0,US,US,301665.026828,0.00352777,7
