path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,9081290.53306943,0.09172658,11,9,2,0,2008,2010,2008→2010,US20110047121A1,US8392250B2,1877530.7755468,strict,US20090030930A1→US8386312B2,US20090030930A1 → US20090036756A1 → US20110047121A1 → US8392250B2 → US20090082643A1 → US8386313B2 → US20110046503A1 → US20090036755A1 → US20090024448A1 → US20090063256A1 → US8386312B2
2,2,8439861.63605386,0.10963472,13,10,3,0,2008,2010,2008→2010,US20090024475A1,US8386312B2,1807111.70104623,strict,US20090030717A1→US20090036755A1,US20090030717A1 → US20110046504A1 → US20110046502A1 → US20090082643A1 → US20090024475A1 → US8386312B2 → US20090063256A1 → US8386313B2 → US20090030303A1 → US20110046503A1 → US20090030930A1 → US20090024448A1 → US20090036755A1
3,3,8338597.750138,0.13104786,15,12,3,0,2008,2009,2008→2009,US20090024447A1,US8386313B2,1982554.24264245,relaxed,US20070055169A1→US20090024448A1,US20070055169A1 → US20090082643A1 → US20110047121A1 → US8386312B2 → US20090036756A1 → US20090036755A1 → US20110046503A1 → US20110046502A1 → US20090062681A1 → US20090024049A1 → US20090070798A1 → US20090024447A1 → US8386313B2 → US20090030303A1 → US20090024448A1
4,4,7204037.19310193,0.06918031,11,8,3,0,2008,2010,2008→2010,US20090024475A1,US8635105B2,1962280.38585953,strict,US20090030287A1→US8386312B2,US20090030287A1 → US20090036756A1 → US20090024475A1 → US8635105B2 → US8392251B2 → US20110046503A1 → US20090030303A1 → US8386313B2 → US8270814B2 → US20090082643A1 → US8386312B2
5,5,7108930.9501618,0.07429242,11,8,3,0,2008,2010,2008→2010,US20090024475A1,US8655428B2,2089461.39612651,strict,US20090082643A1→US8209224B2,US20090082643A1 → US20090036756A1 → US20090062681A1 → US20090024475A1 → US8655428B2 → US8484081B2 → US8392250B2 → US20090024448A1 → US20110046503A1 → US8386312B2 → US8209224B2
6,6,6866295.12043666,0.08056326,13,10,3,0,2008,2010,2008→2010,US20090024447A1,US8386312B2,1982645.49892183,strict,US20090062681A1→US8392250B2,US20090062681A1 → US20090062629A1 → US20110046503A1 → US20090082643A1 → US20090024447A1 → US8386312B2 → US8270814B2 → US8655437B2 → US8484081B2 → US8392251B2 → US20090024448A1 → US20090030303A1 → US8392250B2
7,7,6721003.00587767,0.09253914,18,14,4,0,2007,2010,2007→2010,US20090024447A1,US8392253B2,1982620.91568647,strict,US20090036756A1→US8386312B2,US20090036756A1 → US20090063256A1 → US20110046503A1 → US20090062681A1 → US20090082643A1 → US20110046504A1 → US20090024447A1 → US8392253B2 → US8209224B2 → US8655437B2 → US8494610B2 → US8392250B2 → US20090030303A1 → US8392251B2 → US20090131764A1 → US20080221400A1 → US20090024448A1 → US8386312B2
8,8,6653245.163374,0.10484066,13,10,3,0,2008,2010,2008→2010,US20090024475A1,US8392251B2,1887876.4332749,strict,US20090083129A1→US8386312B2,US20090083129A1 → US20090036756A1 → US20090070798A1 → US20090062681A1 → US20090030930A1 → US20110046503A1 → US20090063256A1 → US20090082643A1 → US20090024475A1 → US8392251B2 → US20090030303A1 → US20090024448A1 → US8386312B2
9,9,6547714.03533829,0.10032462,13,9,4,0,2008,2010,2008→2010,US20090024475A1,US8392250B2,1887876.62181712,relaxed,US20090062629A1→US8386312B2,US20090062629A1 → US20110046502A1 → US20090024448A1 → US20110046504A1 → US20090030717A1 → US20090062681A1 → US20090036755A1 → US20110237971A1 → US20110046503A1 → US20090024475A1 → US8392250B2 → US20110105937A1 → US8386312B2
10,10,6415476.21867378,0.08998893,11,9,2,0,2008,2010,2008→2010,US20110046503A1,US8386313B2,1960160.27413006,strict,US20090063256A1→US20090082643A1,US20090063256A1 → US20110046504A1 → US20090062629A1 → US20090062681A1 → US20090024448A1 → US20090036756A1 → US20090083129A1 → US20110046503A1 → US8386313B2 → US8386312B2 → US20090082643A1
