path_id,position,patent_no,app_year,country,is_internal,title,title_cn,source
1,1,US20090062681A1,2008.0,US,True,CONTENT BASED SELECTION AND META TAGGING OF ADVERTISEMENT BREAKS,广告时段的内容选择与元标记,incoPat
1,2,US20090070798A1,2008.0,US,True,System and Method for Detecting Viewer Attention to Media Delivery Devices,用于检测观众对媒体递送设备的关注的系统和方法,incoPat
1,3,US20090063256A1,2008.0,US,True,CONSUMER EXPERIENCE PORTRAYAL EFFECTIVENESS ASSESSMENT SYSTEM,消费者体验刻画效果评估系统,incoPat
1,4,US20090036755A1,2008.0,US,True,ENTITY AND RELATIONSHIP ASSESSMENT AND EXTRACTION USING NEURO-RESPONSE MEASUREMENTS,使用神经响应测量进行实体和关系评估和提取,incoPat
1,5,US20090082643A1,2008.0,US,True,ANALYSIS OF MARKETING AND ENTERTAINMENT EFFECTIVENESS USING MAGNETOENCEPHALOGRAPHY,使用脑磁图分析营销和娱乐效果,incoPat
1,6,US20090036756A1,2008.0,US,True,NEURO-RESPONSE STIMULUS AND STIMULUS ATTRIBUTE RESONANCE ESTIMATOR,神经反应刺激与刺激属性共振估计器,incoPat
1,7,US20110046502A1,2009.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
1,8,US20110046503A1,2009.0,US,True,DRY ELECTRODES FOR ELECTROENCEPHALOGRAPHY,脑电干电极,incoPat
1,9,US20090024475A1,,US,False,,,
1,10,US8655428B2,2010.0,US,True,Neuro-response data synchronization,神经反应数据同步,incoPat
1,11,US8484081B2,2008.0,US,True,"Analysis of marketing and entertainment effectiveness using central nervous system,  autonomic nervous system,  and effector data",使用中枢神经系统、自主神经系统和效应器数据分析营销和娱乐效果,incoPat
1,12,US20090030303A1,2008.0,US,True,AUDIENCE RESPONSE ANALYSIS USING SIMULTANEOUS ELECTROENCEPHALOGRAPHY (EEG) AND FUNCTIONAL MAGNETIC RESONANCE IMAGING (FMRI),使用同步脑电图(EEG)和功能磁共振成像(FMRI)进行观众反应分析,incoPat
1,13,US8392251B2,2010.0,US,True,Location aware presentation of stimulus material,刺激材料的位置知觉呈现,incoPat
2,1,US20090083129A1,,US,False,,,
2,2,US20090036755A1,2008.0,US,True,ENTITY AND RELATIONSHIP ASSESSMENT AND EXTRACTION USING NEURO-RESPONSE MEASUREMENTS,使用神经响应测量进行实体和关系评估和提取,incoPat
2,3,US20090024475A1,,US,False,,,
2,4,US20090070798A1,2008.0,US,True,System and Method for Detecting Viewer Attention to Media Delivery Devices,用于检测观众对媒体递送设备的关注的系统和方法,incoPat
2,5,US20090024448A1,,US,False,,,
2,6,US20110046503A1,2009.0,US,True,DRY ELECTRODES FOR ELECTROENCEPHALOGRAPHY,脑电干电极,incoPat
2,7,US20110046502A1,2009.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
2,8,US20090030303A1,2008.0,US,True,AUDIENCE RESPONSE ANALYSIS USING SIMULTANEOUS ELECTROENCEPHALOGRAPHY (EEG) AND FUNCTIONAL MAGNETIC RESONANCE IMAGING (FMRI),使用同步脑电图(EEG)和功能磁共振成像(FMRI)进行观众反应分析,incoPat
2,9,US20090082643A1,2008.0,US,True,ANALYSIS OF MARKETING AND ENTERTAINMENT EFFECTIVENESS USING MAGNETOENCEPHALOGRAPHY,使用脑磁图分析营销和娱乐效果,incoPat
2,10,US20090063256A1,2008.0,US,True,CONSUMER EXPERIENCE PORTRAYAL EFFECTIVENESS ASSESSMENT SYSTEM,消费者体验刻画效果评估系统,incoPat
2,11,US8386312B2,2008.0,US,True,Neuro-informatics repository system,神经信息存储系统,incoPat
2,12,US20090036756A1,2008.0,US,True,NEURO-RESPONSE STIMULUS AND STIMULUS ATTRIBUTE RESONANCE ESTIMATOR,神经反应刺激与刺激属性共振估计器,incoPat
2,13,US8392255B2,2008.0,US,True,Content based selection and meta tagging of advertisement breaks,广告时段的内容选择与元标记,incoPat
3,1,US20090063256A1,2008.0,US,True,CONSUMER EXPERIENCE PORTRAYAL EFFECTIVENESS ASSESSMENT SYSTEM,消费者体验刻画效果评估系统,incoPat
3,2,US20110046503A1,2009.0,US,True,DRY ELECTRODES FOR ELECTROENCEPHALOGRAPHY,脑电干电极,incoPat
3,3,US20090062681A1,2008.0,US,True,CONTENT BASED SELECTION AND META TAGGING OF ADVERTISEMENT BREAKS,广告时段的内容选择与元标记,incoPat
3,4,US20110046502A1,2009.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
3,5,US20090036756A1,2008.0,US,True,NEURO-RESPONSE STIMULUS AND STIMULUS ATTRIBUTE RESONANCE ESTIMATOR,神经反应刺激与刺激属性共振估计器,incoPat
3,6,US20110046504A1,2010.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
3,7,US20090070798A1,2008.0,US,True,System and Method for Detecting Viewer Attention to Media Delivery Devices,用于检测观众对媒体递送设备的关注的系统和方法,incoPat
3,8,US20090062629A1,2008.0,US,True,STIMULUS PLACEMENT SYSTEM USING SUBJECT NEURO-RESPONSE MEASUREMENTS,使用受试者神经响应测量刺激放置系统,incoPat
3,9,US20090036755A1,2008.0,US,True,ENTITY AND RELATIONSHIP ASSESSMENT AND EXTRACTION USING NEURO-RESPONSE MEASUREMENTS,使用神经响应测量进行实体和关系评估和提取,incoPat
3,10,US20090082643A1,2008.0,US,True,ANALYSIS OF MARKETING AND ENTERTAINMENT EFFECTIVENESS USING MAGNETOENCEPHALOGRAPHY,使用脑磁图分析营销和娱乐效果,incoPat
3,11,US20090030303A1,2008.0,US,True,AUDIENCE RESPONSE ANALYSIS USING SIMULTANEOUS ELECTROENCEPHALOGRAPHY (EEG) AND FUNCTIONAL MAGNETIC RESONANCE IMAGING (FMRI),使用同步脑电图(EEG)和功能磁共振成像(FMRI)进行观众反应分析,incoPat
4,1,US20090036755A1,2008.0,US,True,ENTITY AND RELATIONSHIP ASSESSMENT AND EXTRACTION USING NEURO-RESPONSE MEASUREMENTS,使用神经响应测量进行实体和关系评估和提取,incoPat
4,2,US20110046502A1,2009.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
4,3,US20110046504A1,2010.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
4,4,US20090062681A1,2008.0,US,True,CONTENT BASED SELECTION AND META TAGGING OF ADVERTISEMENT BREAKS,广告时段的内容选择与元标记,incoPat
4,5,US20090036756A1,2008.0,US,True,NEURO-RESPONSE STIMULUS AND STIMULUS ATTRIBUTE RESONANCE ESTIMATOR,神经反应刺激与刺激属性共振估计器,incoPat
4,6,US20090070798A1,2008.0,US,True,System and Method for Detecting Viewer Attention to Media Delivery Devices,用于检测观众对媒体递送设备的关注的系统和方法,incoPat
4,7,US20090082643A1,2008.0,US,True,ANALYSIS OF MARKETING AND ENTERTAINMENT EFFECTIVENESS USING MAGNETOENCEPHALOGRAPHY,使用脑磁图分析营销和娱乐效果,incoPat
4,8,US20110046503A1,2009.0,US,True,DRY ELECTRODES FOR ELECTROENCEPHALOGRAPHY,脑电干电极,incoPat
4,9,US8655437B2,,US,False,,,
4,10,US8484081B2,2008.0,US,True,"Analysis of marketing and entertainment effectiveness using central nervous system,  autonomic nervous system,  and effector data",使用中枢神经系统、自主神经系统和效应器数据分析营销和娱乐效果,incoPat
4,11,US8392251B2,2010.0,US,True,Location aware presentation of stimulus material,刺激材料的位置知觉呈现,incoPat
4,12,US20090030303A1,2008.0,US,True,AUDIENCE RESPONSE ANALYSIS USING SIMULTANEOUS ELECTROENCEPHALOGRAPHY (EEG) AND FUNCTIONAL MAGNETIC RESONANCE IMAGING (FMRI),使用同步脑电图(EEG)和功能磁共振成像(FMRI)进行观众反应分析,incoPat
5,1,US20110046504A1,2010.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
5,2,US20110046502A1,2009.0,US,True,DISTRIBUTED NEURO-RESPONSE DATA COLLECTION AND ANALYSIS,分布式神经响应数据采集与分析,incoPat
5,3,US20090062681A1,2008.0,US,True,CONTENT BASED SELECTION AND META TAGGING OF ADVERTISEMENT BREAKS,广告时段的内容选择与元标记,incoPat
5,4,US20090062629A1,2008.0,US,True,STIMULUS PLACEMENT SYSTEM USING SUBJECT NEURO-RESPONSE MEASUREMENTS,使用受试者神经响应测量刺激放置系统,incoPat
5,5,US20090070798A1,2008.0,US,True,System and Method for Detecting Viewer Attention to Media Delivery Devices,用于检测观众对媒体递送设备的关注的系统和方法,incoPat
5,6,US20090024475A1,,US,False,,,
5,7,US8392250B2,2010.0,US,True,Neuro-response evaluated stimulus in virtual reality environments,虚拟现实环境中神经响应评估刺激,incoPat
