path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,11672175.54419774,0.18633399,15,11,4,0,2008,2010,2008→2010,US20090024475A1,US8392251B2,2764698.97683869,relaxed,US20090062629A1→US20090030717A1,US20090062629A1 → US20090063256A1 → US20110046502A1 → US20090024448A1 → US20110046504A1 → US20090030930A1 → US20090036756A1 → US20090036755A1 → US20110237971A1 → US20110046503A1 → US20090024475A1 → US8392251B2 → US20090030303A1 → US20090082643A1 → US20090030717A1
2,2,11124742.4960186,0.15617924,13,10,3,0,2008,2010,2008→2010,US20090024475A1,US8386312B2,2646428.45362443,strict,US20090036756A1→US8386313B2,US20090036756A1 → US20090024448A1 → US20090030717A1 → US20090062681A1 → US20090063256A1 → US20090062629A1 → US20110046504A1 → US20110046502A1 → US20090082643A1 → US20090024475A1 → US8386312B2 → US20090030303A1 → US8386313B2
3,3,10987976.61485003,0.16503352,14,10,4,0,2008,2010,2008→2010,US20090036756A1,US8392255B2,2889423.92994043,relaxed,US20090062629A1→US20110046503A1,US20090062629A1 → US20110046502A1 → US20090024448A1 → US20090062681A1 → US20090030717A1 → US20110046504A1 → US20090083129A1 → US20090036756A1 → US8392255B2 → US8270814B2 → US20090082643A1 → US20090030930A1 → US20090036755A1 → US20110046503A1
4,4,10410701.98754719,0.1092475,11,8,3,0,2008,2010,2008→2010,US20090024475A1,US8655428B2,3059917.48328309,strict,US20090082643A1→US8209224B2,US20090082643A1 → US20090036756A1 → US20090062681A1 → US20090024475A1 → US8655428B2 → US8484081B2 → US8392250B2 → US20090024448A1 → US20110046503A1 → US8386312B2 → US8209224B2
5,5,9432495.68693589,0.13230124,10,8,2,0,2008,2010,2008→2010,US20090036756A1,US8386313B2,2903373.89747457,relaxed,US20090062681A1→US20090036755A1,US20090062681A1 → US20090083129A1 → US20110046503A1 → US20110046502A1 → US20110046504A1 → US20090024448A1 → US20090036756A1 → US8386313B2 → US20090082643A1 → US20090036755A1
6,6,8838497.4842678,0.14855503,12,9,3,0,2008,2009,2008→2009,US20090063256A1,US8386312B2,2851481.06019737,strict,US20090070798A1→US20090024448A1,US20090070798A1 → US20090062681A1 → US20090024049A1 → US20070055169A1 → US20090036756A1 → US20090030287A1 → US20110046503A1 → US20090024447A1 → US20090063256A1 → US8386312B2 → US20090082643A1 → US20090024448A1
7,7,8773993.91657505,0.13092033,12,9,3,0,2008,2010,2008→2010,US20090024447A1,US8392254B2,2874738.36310855,relaxed,US20090082643A1→US20090036755A1,US20090082643A1 → US20090030287A1 → US20110046504A1 → US20090063256A1 → US20090024447A1 → US8392254B2 → US8209224B2 → US20090030303A1 → US20110046503A1 → US20090030930A1 → US20090024448A1 → US20090036755A1
8,8,8702062.3850226,0.12806711,17,14,3,0,2008,2010,2008→2010,US20090024447A1,US8392253B2,2903472.54318926,strict,US20090036756A1→US8386312B2,US20090036756A1 → US20090063256A1 → US20110046503A1 → US20090062681A1 → US20090082643A1 → US20110046504A1 → US20090024447A1 → US8392253B2 → US8209224B2 → US8655437B2 → US8392250B2 → US20110105937A1 → US8655428B2 → US8494610B2 → US8392251B2 → US20090024448A1 → US8386312B2
9,9,8663386.17313423,0.14131654,12,10,2,0,2008,2010,2008→2010,US20090024475A1,US8635105B2,2873666.07225443,strict,US20090063256A1→US8655437B2,US20090063256A1 → US20090036756A1 → US20110046502A1 → US20110046503A1 → US20110046504A1 → US20090082643A1 → US20090062629A1 → US20090062681A1 → US20090024475A1 → US8635105B2 → US8392251B2 → US8655437B2
10,10,8596632.32855622,0.13807418,12,7,5,0,2008,2010,2008→2010,US20090024475A1,US8392253B2,2646395.63573074,strict,US20090030287A1→US20090030303A1,US20090030287A1 → US20090062681A1 → US20090024448A1 → US20090036756A1 → US20070055169A1 → US20090082643A1 → US20090063256A1 → US20110046504A1 → US20090024475A1 → US8392253B2 → US8270814B2 → US20090030303A1
11,11,8513753.66972676,0.09310915,8,6,2,0,2008,2010,2008→2010,US20090024475A1,US8392250B2,2764699.25409079,strict,US20090030717A1→US20090030303A1,US20090030717A1 → US20090036756A1 → US20090024475A1 → US8392250B2 → US20090063256A1 → US8386313B2 → US20110046503A1 → US20090030303A1
12,12,8316529.43707169,0.08004601,7,6,1,0,2008,2010,2008→2010,US20090024447A1,US8392250B2,3033268.44484155,strict,US20110046504A1→US8209224B2,US20110046504A1 → US20090036756A1 → US20090024447A1 → US8392250B2 → US20110046503A1 → US8386313B2 → US8209224B2
13,13,8292816.22322242,0.11959053,10,8,2,0,2008,2009,2008→2009,US20090082643A1,US8386313B2,2872615.0652992,strict,US20090062681A1→US20090024448A1,US20090062681A1 → US20110046502A1 → US20090036756A1 → US20090024049A1 → US20090070798A1 → US20090082643A1 → US8386313B2 → US8270814B2 → US20110046503A1 → US20090024448A1
